CANVAS_SIZE: 1600x1600
ID | Points (P1, P2, P3, P4)
--------------------------------------------------
Cell 78: (1214.11, 1065.41), (1600.00, 1083.82), (1600.00, 1062.41), (1250.35, 1039.57)
Cell 79: (1250.35, 1039.57), (1600.00, 1062.41), (1600.00, 993.96), (1308.71, 1003.34)
Cell 80: (1308.71, 1003.34), (1600.00, 993.96), (1600.00, 976.76), (1331.24, 988.81)
Cell 81: (1331.24, 988.81), (1600.00, 976.76), (1600.00, 950.00), (1393.74, 950.90)
Cell 82: (0.00, 650.00), (145.09, 647.32), (167.71, 564.95), (0.00, 545.45)
Cell 83: (145.09, 647.32), (400.53, 649.40), (437.93, 591.09), (167.71, 564.95)
Cell 84: (0.00, 545.45), (219.23, 567.44), (252.20, 498.54), (0.00, 496.49)
Cell 85: (0.00, 496.49), (252.20, 498.54), (295.28, 426.70), (0.00, 424.93)
Cell 86: (219.23, 567.44), (437.93, 591.09), (468.26, 550.46), (257.01, 501.25)
Cell 87: (257.01, 501.25), (468.26, 550.46), (486.62, 528.03), (269.11, 469.38)
Cell 88: (269.11, 469.38), (486.62, 528.03), (549.06, 430.52), (295.28, 426.70)
Cell 89: (400.53, 649.40), (637.71, 650.00), (693.14, 618.96), (425.93, 609.63)
Cell 90: (425.93, 609.63), (693.14, 618.96), (788.32, 564.82), (457.22, 564.11)
Cell 91: (457.22, 564.11), (788.32, 564.82), (838.43, 539.31), (479.87, 532.79)
Cell 92: (637.71, 650.00), (1033.84, 650.00), (1053.32, 632.45), (680.89, 624.47)
Cell 93: (680.89, 624.47), (1053.32, 632.45), (1086.39, 607.54), (762.83, 582.95)
Cell 94: (762.83, 582.95), (1086.39, 607.54), (1148.80, 549.41), (838.43, 539.31)
Cell 95: (479.87, 532.79), (564.63, 530.31), (672.59, 429.82), (549.06, 430.52)
Cell 96: (564.63, 530.31), (755.04, 539.04), (837.07, 431.40), (672.59, 429.82)
Cell 97: (755.04, 539.04), (940.18, 540.66), (1058.87, 472.60), (802.65, 470.96)
Cell 98: (940.18, 540.66), (1148.80, 549.41), (1235.71, 470.87), (1058.87, 472.60)
Cell 99: (802.65, 470.96), (1235.71, 470.87), (1278.83, 433.83), (837.07, 431.40)
Cell 100: (1033.84, 650.00), (1275.32, 648.70), (1247.41, 547.27), (1153.31, 541.67)
Cell 101: (1275.32, 648.70), (1430.87, 652.00), (1469.94, 549.83), (1247.41, 547.27)
Cell 102: (1430.87, 652.00), (1600.00, 650.00), (1600.00, 547.78), (1469.94, 549.83)
Cell 103: (1153.31, 541.67), (1600.00, 547.78), (1600.00, 525.66), (1195.64, 511.24)
Cell 104: (1195.64, 511.24), (1323.97, 516.06), (1397.11, 433.26), (1278.83, 433.83)
Cell 105: (1323.97, 516.06), (1496.86, 523.73), (1556.99, 436.29), (1397.11, 433.26)
Cell 106: (1496.86, 523.73), (1600.00, 525.66), (1600.00, 437.19), (1556.99, 436.29)
Cell 107: (0.00, 424.93), (110.93, 428.01), (85.54, 283.48), (0.00, 281.18)
Cell 108: (110.93, 428.01), (298.33, 426.19), (242.90, 325.31), (95.53, 324.35)
Cell 109: (95.53, 324.35), (242.90, 325.31), (227.18, 282.25), (85.54, 283.48)
Cell 110: (298.33, 426.19), (507.59, 430.47), (495.89, 347.11), (265.37, 363.78)
Cell 111: (265.37, 363.78), (495.89, 347.11), (486.30, 283.08), (227.18, 282.25)
Cell 112: (507.59, 430.47), (638.34, 431.90), (668.17, 344.60), (494.13, 327.42)
Cell 113: (638.34, 431.90), (815.37, 431.58), (826.28, 353.31), (668.17, 344.60)
Cell 114: (494.13, 327.42), (607.63, 340.79), (683.06, 283.04), (486.30, 283.08)
Cell 115: (607.63, 340.79), (826.28, 353.31), (842.99, 285.36), (683.06, 283.04)
Cell 116: (0.00, 281.18), (359.04, 281.31), (396.09, 258.96), (0.00, 239.19)
Cell 117: (0.00, 239.19), (159.73, 250.16), (144.20, 187.06), (0.00, 174.65)
Cell 118: (159.73, 250.16), (396.09, 258.96), (495.13, 207.72), (144.20, 187.06)
Cell 119: (0.00, 174.65), (495.13, 207.72), (558.32, 178.63), (0.00, 143.67)
Cell 120: (359.04, 281.31), (842.99, 285.36), (844.22, 268.55), (438.63, 242.95)
Cell 121: (438.63, 242.95), (844.22, 268.55), (846.99, 254.08), (479.65, 219.22)
Cell 122: (479.65, 219.22), (846.99, 254.08), (854.37, 198.48), (558.32, 178.63)
Cell 123: (0.00, 143.67), (227.13, 159.12), (218.69, 96.89), (0.00, 95.64)
